_id,Link,city,co_active_industries,co_name
644651f9e6d27afc88fcb615,www.tec-eurolab.com,Buttigliera Alta,"['Test & Measurement Equipment', 'Manufacturing']",TEC Eurolab
64465200e6d27afc88fcb632,www.primiziedeltrentino.it,Not Defined,"['Food & Beverage', 'Manufacturing']",Soc Agricola Primizie del trentino
6446520ce6d27afc88fcb660,www.iblealat.it,Not Defined,"['Food & Beverage', 'Manufacturing']",Iblealat Soc Coop Agr
6446520ce6d27afc88fcb663,www.ansape-terrantica.it,Not Defined,"['Food & Beverage', 'Manufacturing']",AN.SA.PE Soc Coop
64465213e6d27afc88fcb686,www.renaissancegroup.it,Not Defined,"['Manufacturing', 'Electronics']",Renaissance Group Soc
6446521ae6d27afc88fcb693,www.siloeagricolturabiologica.it,Bari,"['Food & Beverage', 'Manufacturing']",Siloe Coop Soc
64465226e6d27afc88fcb6cf,www.tmsrl.eu,Not Defined,"['Manufacturing', 'Medical Devices & Equipment']",DR Advanced Dedicated Tecnologies
64465240e6d27afc88fcb737,www.vaxxinova.it,Brescia,"['Chemicals & Related Products', 'Manufacturing']",Vaxxinova
6446524de6d27afc88fcb778,www.setna.com,Not Defined,"['Manufacturing', 'Veterinary Services']",Setna
64465253e6d27afc88fcb78a,www.dogserviceroma.it,Rome,"['Cosmetics', 'Beauty Supply & Personal Care Products', 'Manufacturing']",DogServiceRoma
644654711735abd5e3319258,www.celligroup.com,San Giovanni in Marignano,"['Food & Beverage', 'Manufacturing']",The Celli Group
644654711735abd5e3319259,www.seri-industrial.it,San Potito Sannitico,"['Manufacturing', 'Chemicals & Related Products']",Seri Industrial SpA
644654711735abd5e3319260,www.ur-group.com,Segrate,"['Manufacturing', 'Holding Companies & Conglomerates']",UR Group
644654711735abd5e3319269,www.cham-group.com,Carmignano di Brenta,"['Manufacturing', 'Pulp & Paper']",Cham Paper Group
644654851735abd5e33192a7,www.hippocratesholding.com,Italy,"['Manufacturing', 'Pharmaceuticals']",Hippocrates Holding SPA
644654931735abd5e33192e5,www.p-pholding.com,Bedizzole,"['Electronics', 'Manufacturing']",P&P Holding
644654ae1735abd5e3319353,www.afeltracompany.com,Scafati,"['Food & Beverage', 'Manufacturing']",Benedetto Afeltra & C
64465526cb7a3f56cd337582,www.lavazzagroup.com,Turin,"['Food & Beverage', 'Manufacturing']",Lavazza Group
6446553acb7a3f56cd3375e8,www.tosoni.com,Villafranca di Verona,"['Industrial Machinery & Equipment', 'Manufacturing']",Gruppo Industriale Tosoni SpA
64465547cb7a3f56cd33760f,www.alke.com,Padova,"['Manufacturing', 'Motor Vehicles']",Alke'
64465560cb7a3f56cd33766e,www.amapspa.it,Palermo,"['Industrial Machinery & Equipment', 'Manufacturing']",Amap Spa
64465560cb7a3f56cd337672,www.s2tech.it,Milano,"['Manufacturing', 'Restaurants']",S2Tech
64465574cb7a3f56cd3376d0,www.racingforce.com,Italy,"['Sporting Goods', 'Manufacturing']",Racing Force Group
6446558ecb7a3f56cd337738,www.sampietro.it,Luisago,"['Textiles & Apparel', 'Manufacturing']",Sampietro Hotels
64465594cb7a3f56cd33773d,www.hangar-noleggi.it,Not Defined,"['Electronics', 'Manufacturing']",HANGAR - soluzioni a noleggio breve e lungo termine
64465594cb7a3f56cd33773f,www.primiziedeltrentino.it,Not Defined,"['Food & Beverage', 'Manufacturing']",Soc Agricola Primizie del trentino
6446559bcb7a3f56cd33775b,www.frangiamoremussomeli.it,Not Defined,"['Furniture', 'Manufacturing']",Agenzia Funebre Di Frangiamore Ezio
644655a1cb7a3f56cd337770,www.scentcompany.it,Gazzaniga,"['Cosmetics', 'Beauty Supply & Personal Care Products', 'Manufacturing']","SCENT COMPANY - Scent Marketing for Luxury Hotels, Retail, Spas and."
644655b5cb7a3f56cd3377c8,www.gruppoethos.it,Agrate Brianza,"['Food & Beverage', 'Manufacturing']",Gruppo Ethos
644655c2cb7a3f56cd3377f6,www.scanfly.it,Not Defined,"['Aerospace & Defense', 'Manufacturing']",Scanfly ULTRA X
644655cfcb7a3f56cd33782e,www.pastorelli.it,Not Defined,"['Manufacturing', 'Textiles & Apparel']",Tessitura Marco Pastorelli Spa
644655dccb7a3f56cd337862,www.mesar.it,Guidonia Montecelio,"['Electronics', 'Manufacturing']",Mesar
644655e9cb7a3f56cd337892,www.idal.it,Not Defined,"['Food & Beverage', 'Manufacturing']",Idal
644655f1cb7a3f56cd3378b7,www.tendearquatibari.it,Not Defined,"['Furniture', 'Manufacturing']",Centro Confezionamento Tende Arquati Bari
